Año,Entidad,Ley,Concepto,Tipo,Total
2012,Aguascalientes,Codigo penal federal,Contra la salud,Produccion,1.0
2012,Aguascalientes,Codigo penal federal,Contra la salud,Transporte,9.0
2012,Aguascalientes,Codigo penal federal,Contra la salud,Trafico,0.0
2012,Aguascalientes,Codigo penal federal,Contra la salud,Comercio,97.0
2012,Aguascalientes,Codigo penal federal,Contra la salud,Suministro,0.0
2012,Aguascalientes,Codigo penal federal,Contra la salud,Posesion,157.0
2012,Aguascalientes,Codigo penal federal,Contra la salud,Otros,14.0
2012,Aguascalientes,Codigo penal federal,Otros delitos,Cometidos por servidores publicos,26.0
2012,Aguascalientes,Codigo penal federal,Otros delitos,Contra el ambiente y la gestion ambiental,23.0
2012,Aguascalientes,Codigo penal federal,Otros delitos,Contra la integridad corporal,2.0
2012,Aguascalientes,Codigo penal federal,Otros delitos,Electorales,33.0
2012,Aguascalientes,Codigo penal federal,Otros delitos,En materia de derechos de autor,5.0
2012,Aguascalientes,Codigo penal federal,Otros delitos,"Falsedad, titulo decimo tercero",55.0
2012,Aguascalientes,Codigo penal federal,Otros delitos,Patrimoniales,68.0
2012,Aguascalientes,Codigo penal federal,Otros delitos,Vias de comunicacion y correspondencia,5.0
2012,Aguascalientes,Codigo penal federal,Otros delitos,Otros delitos del c.p.f.,31.0
2012,Baja California,Codigo penal federal,Contra la salud,Produccion,8.0
2012,Baja California,Codigo penal federal,Contra la salud,Transporte,17.0
2012,Baja California,Codigo penal federal,Contra la salud,Trafico,1.0
2012,Baja California,Codigo penal federal,Contra la salud,Comercio,99.0
2012,Baja California,Codigo penal federal,Contra la salud,Suministro,2.0
2012,Baja California,Codigo penal federal,Contra la salud,Posesion,6650.0
2012,Baja California,Codigo penal federal,Contra la salud,Otros,47.0
2012,Baja California,Codigo penal federal,Otros delitos,Cometidos por servidores publicos,144.0
2012,Baja California,Codigo penal federal,Otros delitos,Contra el ambiente y la gestion ambiental,41.0
2012,Baja California,Codigo penal federal,Otros delitos,Contra la integridad corporal,7.0
2012,Baja California,Codigo penal federal,Otros delitos,Electorales,86.0
2012,Baja California,Codigo penal federal,Otros delitos,En materia de derechos de autor,283.0
2012,Baja California,Codigo penal federal,Otros delitos,"Falsedad, titulo decimo tercero",476.0
2012,Baja California,Codigo penal federal,Otros delitos,Patrimoniales,1171.0
2012,Baja California,Codigo penal federal,Otros delitos,Vias de comunicacion y correspondencia,15.0
2012,Baja California,Codigo penal federal,Otros delitos,Otros delitos del c.p.f.,249.0
2012,Baja California Sur,Codigo penal federal,Contra la salud,Produccion,3.0
2012,Baja California Sur,Codigo penal federal,Contra la salud,Transporte,31.0
2012,Baja California Sur,Codigo penal federal,Contra la salud,Trafico,2.0
2012,Baja California Sur,Codigo penal federal,Contra la salud,Comercio,19.0
2012,Baja California Sur,Codigo penal federal,Contra la salud,Suministro,3.0
2012,Baja California Sur,Codigo penal federal,Contra la salud,Posesion,63.0
2012,Baja California Sur,Codigo penal federal,Contra la salud,Otros,15.0
2012,Baja California Sur,Codigo penal federal,Otros delitos,Cometidos por servidores publicos,22.0
2012,Baja California Sur,Codigo penal federal,Otros delitos,Contra el ambiente y la gestion ambiental,23.0
2012,Baja California Sur,Codigo penal federal,Otros delitos,Contra la integridad corporal,2.0
2012,Baja California Sur,Codigo penal federal,Otros delitos,Electorales,44.0
2012,Baja California Sur,Codigo penal federal,Otros delitos,En materia de derechos de autor,16.0
2012,Baja California Sur,Codigo penal federal,Otros delitos,"Falsedad, titulo decimo tercero",28.0
2012,Baja California Sur,Codigo penal federal,Otros delitos,Patrimoniales,111.0
2012,Baja California Sur,Codigo penal federal,Otros delitos,Vias de comunicacion y correspondencia,9.0
2012,Baja California Sur,Codigo penal federal,Otros delitos,Otros delitos del c.p.f.,58.0
2012,Campeche,Codigo penal federal,Contra la salud,Produccion,3.0
2012,Campeche,Codigo penal federal,Contra la salud,Transporte,7.0
2012,Campeche,Codigo penal federal,Contra la salud,Trafico,0.0
2012,Campeche,Codigo penal federal,Contra la salud,Comercio,20.0
2012,Campeche,Codigo penal federal,Contra la salud,Suministro,0.0
2012,Campeche,Codigo penal federal,Contra la salud,Posesion,8.0
2012,Campeche,Codigo penal federal,Contra la salud,Otros,6.0
2012,Campeche,Codigo penal federal,Otros delitos,Cometidos por servidores publicos,21.0
2012,Campeche,Codigo penal federal,Otros delitos,Contra el ambiente y la gestion ambiental,86.0
2012,Campeche,Codigo penal federal,Otros delitos,Contra la integridad corporal,2.0
2012,Campeche,Codigo penal federal,Otros delitos,Electorales,35.0
2012,Campeche,Codigo penal federal,Otros delitos,En materia de derechos de autor,9.0
2012,Campeche,Codigo penal federal,Otros delitos,"Falsedad, titulo decimo tercero",21.0
2012,Campeche,Codigo penal federal,Otros delitos,Patrimoniales,135.0
2012,Campeche,Codigo penal federal,Otros delitos,Vias de comunicacion y correspondencia,1.0
2012,Campeche,Codigo penal federal,Otros delitos,Otros delitos del c.p.f.,96.0
2012,Coahuila de Zaragoza,Codigo penal federal,Contra la salud,Produccion,17.0
2012,Coahuila de Zaragoza,Codigo penal federal,Contra la salud,Transporte,4.0
