Año,Entidad,Modalidad,Tipo,Subtipo,Total
1997,Aguascalientes,Delitos patrimoniales,Abuso de confianza,Abuso de confianza,253
1997,Aguascalientes,Delitos patrimoniales,Daño en propiedad ajena,Daño en propiedad ajena,779
1997,Aguascalientes,Delitos patrimoniales,Extorsion,Extorsion,0
1997,Aguascalientes,Delitos patrimoniales,Fraude,Fraude,298
1997,Aguascalientes,Delitos patrimoniales,Despojo,Con violencia,0
1997,Aguascalientes,Delitos patrimoniales,Despojo,Sin violencia,0
1997,Aguascalientes,Delitos patrimoniales,Despojo,Sin datos,0
1997,Aguascalientes,Delitos sexuales (violacion),Violacion,Violacion,48
1997,Aguascalientes,Homicidios,Dolosos,Con arma de fuego,0
1997,Aguascalientes,Homicidios,Dolosos,Con arma blanca,24
1997,Aguascalientes,Homicidios,Dolosos,Otros,331
1997,Aguascalientes,Homicidios,Dolosos,Sin datos,0
1997,Aguascalientes,Homicidios,Culposos,Con arma de fuego,0
1997,Aguascalientes,Homicidios,Culposos,Con arma blanca,0
1997,Aguascalientes,Homicidios,Culposos,Otros,0
1997,Aguascalientes,Lesiones,Culposas,Otros,0
1997,Aguascalientes,Lesiones,Culposas,Sin datos,297
1997,Aguascalientes,Otros delitos,Amenazas,Amenazas,165
1997,Aguascalientes,Otros delitos,Estupro,Estupro,3
1997,Aguascalientes,Otros delitos,Otros sexuales,Otros sexuales,55
1997,Aguascalientes,Otros delitos,Resto de los delitos (otros),Resto de los delitos (otros),1032
1997,Aguascalientes,Priv. de la libertad (secuestro),Secuestro,Secuestro,7
1997,Aguascalientes,Robo comun,Con violencia,A casa habitacion,0
1997,Aguascalientes,Robo comun,Con violencia,A negocio,516
1997,Aguascalientes,Robo comun,Con violencia,De vehiculos,6
1997,Aguascalientes,Robo comun,Con violencia,A transportistas,0
1997,Aguascalientes,Robo comun,Con violencia,A transeuntes,48
1997,Aguascalientes,Robo comun,Con violencia,Otros,591
1997,Aguascalientes,Robo comun,Con violencia,Sin datos,0
1997,Aguascalientes,Robo comun,Sin violencia,A casa habitacion,54
1997,Aguascalientes,Robo comun,Sin violencia,A negocio,756
1997,Aguascalientes,Robo comun,Sin violencia,De vehiculos,186
1997,Aguascalientes,Robo comun,Sin violencia,A transportistas,0
1997,Aguascalientes,Robo comun,Sin violencia,A transeuntes,0
1997,Aguascalientes,Robo comun,Sin violencia,Otros,2765
1997,Aguascalientes,Robo comun,Sin violencia,Sin datos,0
1997,Aguascalientes,Robo de ganado (abigeato),Abigeato,Abigeato,0
1997,Aguascalientes,Robo en instituciones bancarias,Con violencia,A bancos,0
1997,Aguascalientes,Robo en instituciones bancarias,Con violencia,A casa de bolsa,0
