Price,Fecha
0.0528,2019-12-01
0.0511,2019-11-01
0.052,2019-10-01
0.0507,2019-09-01
0.04985,2019-08-01
0.05225,2019-07-01
0.052,2019-06-01
0.051,2019-05-01
0.0528,2019-04-01
0.05145,2019-03-01
0.05185,2019-02-01
0.0523,2019-01-01
0.0509,2018-12-01
0.049,2018-11-01
0.04915,2018-10-01
0.05345,2018-09-01
0.0524,2018-08-01
0.0536,2018-07-01
0.0502,2018-06-01
0.0502,2018-05-01
0.0534,2018-04-01
0.05505,2018-03-01
0.0531,2018-02-01
0.05375,2018-01-01
0.0509,2017-12-01
0.0537,2017-11-01
0.0522,2017-10-01
0.0548,2017-09-01
0.0559,2017-08-01
0.05615,2017-07-01
0.05515,2017-06-01
0.0537,2017-05-01
0.0532,2017-04-01
0.0534,2017-03-01
0.0498,2017-02-01
0.048,2017-01-01
0.0483,2016-12-01
0.0486,2016-11-01
0.053,2016-10-01
0.0516,2016-09-01
0.0532,2016-08-01
0.0533,2016-07-01
0.0547,2016-06-01
0.0541,2016-05-01
0.0582,2016-04-01
0.0579,2016-03-01
0.0551,2016-02-01
0.0552,2016-01-01
0.0582,2015-12-01
0.0603,2015-11-01
0.0606,2015-10-01
0.0591,2015-09-01
0.0597,2015-08-01
0.0621,2015-07-01
0.0635,2015-06-01
0.065,2015-05-01
0.0652,2015-04-01
0.0655,2015-03-01
0.0669,2015-02-01
0.0667,2015-01-01
0.0678,2014-12-01
0.0718,2014-11-01
0.0742,2014-10-01
0.0745,2014-09-01
0.0764,2014-08-01
0.0757,2014-07-01
0.0771,2014-06-01
0.0778,2014-05-01
0.0765,2014-04-01
0.0766,2014-03-01
0.0755,2014-02-01
0.0749,2014-01-01
0.0767,2013-12-01
0.0763,2013-11-01
0.0768,2013-10-01
0.0764,2013-09-01
0.0747,2013-08-01
0.0785,2013-07-01
0.0772,2013-06-01
0.0781,2013-05-01
0.0824,2013-04-01
0.0812,2013-03-01
0.0783,2013-02-01
0.0787,2013-01-01
0.0778,2012-12-01
0.0773,2012-11-01
0.0763,2012-10-01
0.0777,2012-09-01
0.0757,2012-08-01
0.075,2012-07-01
0.0749,2012-06-01
0.0696,2012-05-01
0.0768,2012-04-01
0.0781,2012-03-01
0.0778,2012-02-01
0.0766,2012-01-01
0.0717,2011-12-01
0.0733,2011-11-01
0.0748,2011-10-01
0.0719,2011-09-01
0.0811,2011-08-01
0.0853,2011-07-01
0.0854,2011-06-01
0.0864,2011-05-01
0.087,2011-04-01
0.084,2011-03-01
0.0826,2011-02-01
0.0825,2011-01-01
0.0809,2010-12-01
0.0801,2010-11-01
0.081,2010-10-01
0.0793,2010-09-01
0.0758,2010-08-01
0.0791,2010-07-01
0.0773,2010-06-01
0.0773,2010-05-01
0.0813,2010-04-01
0.0807,2010-03-01
0.0783,2010-02-01
0.0764,2010-01-01
0.0765,2009-12-01
0.0773,2009-11-01
0.0756,2009-10-01
0.0741,2009-09-01
0.0748,2009-08-01
0.0758,2009-07-01
0.0758,2009-06-01
0.0761,2009-05-01
0.0724,2009-04-01
0.0705,2009-03-01
0.0656,2009-02-01
0.0697,2009-01-01
0.0727,2008-12-01
0.0743,2008-11-01
0.078,2008-10-01
0.0916,2008-09-01
0.0972,2008-08-01
0.0997,2008-07-01
0.097,2008-06-01
0.0969,2008-05-01
0.0954,2008-04-01
0.094,2008-03-01
0.0934,2008-02-01
0.0924,2008-01-01
0.0916,2007-12-01
0.0917,2007-11-01
0.0939,2007-10-01
0.0915,2007-09-01
0.0907,2007-08-01
0.091,2007-07-01
0.0925,2007-06-01
0.0931,2007-05-01
0.0912,2007-04-01
0.0906,2007-03-01
0.0896,2007-02-01
0.0909,2007-01-01
0.0926,2006-12-01
0.0911,2006-11-01
0.0929,2006-10-01
0.0911,2006-09-01
0.0916,2006-08-01
0.0912,2006-07-01
0.0882,2006-06-01
0.0883,2006-05-01
0.0904,2006-04-01
0.0919,2006-03-01
0.0954,2006-02-01
0.0957,2006-01-01
0.0941,2005-12-01
0.0947,2005-11-01
0.0927,2005-10-01
0.0929,2005-09-01
0.093,2005-08-01
0.0943,2005-07-01
0.0931,2005-06-01
0.0919,2005-05-01
0.0905,2005-04-01
0.0895,2005-03-01
0.0901,2005-02-01
0.0893,2005-01-01
0.0898,2004-12-01
0.0891,2004-11-01
0.0867,2004-10-01
0.0879,2004-09-01
0.0878,2004-08-01
0.0878,2004-07-01
0.087,2004-06-01
0.0873,2004-05-01
0.0876,2004-04-01
0.0899,2004-03-01
0.0904,2004-02-01
0.0904,2004-01-01
0.089,2003-12-01
0.0879,2003-11-01
0.0908,2003-10-01
0.091,2003-09-01
0.0905,2003-08-01
0.0943,2003-07-01
0.0956,2003-06-01
0.0969,2003-05-01
0.0974,2003-04-01
0.0928,2003-03-01
0.0908,2003-02-01
0.0917,2003-01-01
0.0964,2002-12-01
0.0986,2002-11-01
0.098,2002-10-01
0.0981,2002-09-01
0.1006,2002-08-01
0.1013,2002-07-01
0.1006,2002-06-01
0.1037,2002-05-01
0.1062,2002-04-01
0.111,2002-03-01
0.1096,2002-02-01
0.1093,2002-01-01
0.1093,2001-12-01
0.1085,2001-11-01
0.1078,2001-10-01
0.1053,2001-09-01
0.1086,2001-08-01
0.1091,2001-07-01
0.1108,2001-06-01
0.109,2001-05-01
0.1081,2001-04-01
0.1057,2001-03-01
0.1033,2001-02-01
0.1035,2001-01-01
0.1037,2000-12-01
0.1061,2000-11-01
0.1045,2000-10-01
0.1059,2000-09-01
0.1087,2000-08-01
0.1071,2000-07-01
0.102,2000-06-01
0.105,2000-05-01
0.1065,2000-04-01
0.108,2000-03-01
0.1067,2000-02-01
0.1043,2000-01-01
0.1052,1999-12-01
0.1059,1999-11-01
0.1042,1999-10-01
0.1067,1999-09-01
0.107,1999-08-01
0.1063,1999-07-01
0.1067,1999-06-01
0.1029,1999-05-01
0.1075,1999-04-01
0.105,1999-03-01
0.101,1999-02-01
0.0983,1999-01-01
0.101,1998-12-01
0.1,1998-11-01
0.0996,1998-10-01
0.0973,1998-09-01
0.0989,1998-08-01
0.112,1998-07-01
0.1115,1998-06-01
0.1132,1998-05-01
0.1178,1998-04-01
0.1173,1998-03-01
0.1174,1998-02-01
0.1183,1998-01-01
0.1239,1997-12-01
0.1216,1997-11-01
0.1189,1997-10-01
0.1287,1997-09-01
0.1278,1997-08-01
0.1278,1997-07-01
0.126,1997-06-01
0.1263,1997-05-01
0.1258,1997-04-01
0.1263,1997-03-01
0.1262,1997-02-01
0.1279,1997-01-01
0.1268,1996-12-01
0.1268,1996-11-01
0.1255,1996-10-01
0.1327,1996-09-01
0.1319,1996-08-01
0.1318,1996-07-01
0.1318,1996-06-01
0.1339,1996-05-01
0.1349,1996-04-01
0.1328,1996-03-01
0.1314,1996-02-01
0.1357,1996-01-01
0.13,1995-12-01
0.1326,1995-11-01
0.1413,1995-10-01
0.1566,1995-09-01
0.1597,1995-08-01
0.1638,1995-07-01
0.16,1995-06-01
0.1617,1995-05-01
0.1691,1995-04-01
0.1474,1995-03-01
0.1676,1995-02-01
0.1742,1995-01-01
0.2001,1994-12-01
0.2906,1994-11-01
0.2909,1994-10-01
0.2945,1994-09-01
0.2951,1994-08-01
0.2943,1994-07-01
0.2948,1994-06-01
0.3012,1994-05-01
0.3063,1994-04-01
0.2976,1994-03-01
0.315,1994-02-01
0.3221,1994-01-01
0.3215,1993-12-01
0.3221,1993-11-01
0.3195,1993-10-01
0.3205,1993-09-01
0.3215,1993-08-01
0.321,1993-07-01
0.3195,1993-06-01
0.3205,1993-05-01
0.3215,1993-04-01
0.3236,1993-03-01
0.3226,1993-02-01
0.3215,1993-01-01
0.3205,1992-12-01
0.3215,1992-11-01
0.3205,1992-10-01
0.3215,1992-09-01
0.3252,1992-08-01
0.3215,1992-07-01
0.3205,1992-06-01
0.3215,1992-05-01
0.3247,1992-04-01
0.3268,1992-03-01
0.3268,1992-02-01
0.3263,1992-01-01
