Price,Fecha
18.9325,2019-12-01
19.567,2019-11-01
19.2345,2019-10-01
19.7325,2019-09-01
20.0678,2019-08-01
19.134,2019-07-01
19.2237,2019-06-01
19.6172,2019-05-01
18.9477,2019-04-01
19.429,2019-03-01
19.2825,2019-02-01
19.1063,2019-01-01
19.6478,2018-12-01
20.4052,2018-11-01
20.3397,2018-10-01
18.7184,2018-09-01
19.085,2018-08-01
18.648,2018-07-01
19.9175,2018-06-01
19.9135,2018-05-01
18.7135,2018-04-01
18.16,2018-03-01
18.8403,2018-02-01
18.6,2018-01-01
19.653,2017-12-01
18.631,2017-11-01
19.149,2017-10-01
18.255,2017-09-01
17.887,2017-08-01
17.8013,2017-07-01
18.1278,2017-06-01
18.6212,2017-05-01
18.82,2017-04-01
18.725,2017-03-01
20.1075,2017-02-01
20.834,2017-01-01
20.7275,2016-12-01
20.572,2016-11-01
18.864,2016-10-01
19.385,2016-09-01
18.7851,2016-08-01
18.7525,2016-07-01
18.28,2016-06-01
18.4684,2016-05-01
17.175,2016-04-01
17.2806,2016-03-01
18.135,2016-02-01
18.11,2016-01-01
17.18,2015-12-01
16.5745,2015-11-01
16.5,2015-10-01
16.9193,2015-09-01
16.7522,2015-08-01
16.1106,2015-07-01
15.7389,2015-06-01
15.3775,2015-05-01
15.3488,2015-04-01
15.2618,2015-03-01
14.9507,2015-02-01
14.989,2015-01-01
14.749,2014-12-01
13.9367,2014-11-01
13.4772,2014-10-01
13.4277,2014-09-01
13.0878,2014-08-01
13.2177,2014-07-01
12.9682,2014-06-01
12.8587,2014-05-01
13.0792,2014-04-01
13.0578,2014-03-01
13.245,2014-02-01
13.3562,2014-01-01
13.0365,2013-12-01
13.1025,2013-11-01
13.0198,2013-10-01
13.0915,2013-09-01
13.3803,2013-08-01
12.7325,2013-07-01
12.946,2013-06-01
12.8089,2013-05-01
12.134,2013-04-01
12.316,2013-03-01
12.7791,2013-02-01
12.7088,2013-01-01
12.8657,2012-12-01
12.9503,2012-11-01
13.0994,2012-10-01
12.8594,2012-09-01
13.1924,2012-08-01
13.327,2012-07-01
13.3573,2012-06-01
14.3716,2012-05-01
13.0155,2012-04-01
12.807,2012-03-01
12.846,2012-02-01
13.0446,2012-01-01
13.9547,2011-12-01
13.6438,2011-11-01
13.3604,2011-10-01
13.9,2011-09-01
12.3374,2011-08-01
11.7275,2011-07-01
11.7106,2011-06-01
11.5697,2011-05-01
11.498,2011-04-01
11.9039,2011-03-01
12.1067,2011-02-01
12.1162,2011-01-01
12.3575,2010-12-01
12.4925,2010-11-01
12.3469,2010-10-01
12.6072,2010-09-01
13.1985,2010-08-01
12.6475,2010-07-01
12.9425,2010-06-01
12.93,2010-05-01
12.305,2010-04-01
12.3777,2010-03-01
12.7733,2010-02-01
13.099,2010-01-01
13.0636,2009-12-01
12.936,2009-11-01
13.22,2009-10-01
13.501,2009-09-01
13.3623,2009-08-01
13.174,2009-07-01
13.187,2009-06-01
13.1325,2009-05-01
13.8388,2009-04-01
14.19,2009-03-01
15.2475,2009-02-01
14.342,2009-01-01
13.6662,2008-12-01
13.4454,2008-11-01
12.827,2008-10-01
10.92,2008-09-01
10.285,2008-08-01
10.035,2008-07-01
10.31,2008-06-01
10.322,2008-05-01
10.486,2008-04-01
10.636,2008-03-01
10.7115,2008-02-01
10.8262,2008-01-01
10.9088,2007-12-01
10.907,2007-11-01
10.6532,2007-10-01
10.922,2007-09-01
