Entidad,Porcentage,Año
Aguascalientes,24.7,2008
Baja California,32.7,2008
Baja California Sur,16.5,2008
Campeche,32.1,2008
Coahuila de Zaragoza,15.9,2008
Colima,29.2,2008
Chiapas,36.3,2008
Chihuahua,28.9,2008
Ciudad de México,13.4,2008
Durango,27.0,2008
Guanajuato,37.8,2008
Guerrero,45.9,2008
Hidalgo,44.6,2008
Jalisco,36.9,2008
México,39.9,2008
Michoacán de Ocampo,42.0,2008
Morelos,40.8,2008
Nayarit,33.6,2008
Nuevo León,20.0,2008
Oaxaca,49.5,2008
Puebla,48.9,2008
Querétaro,31.2,2008
Quintana Roo,34.1,2008
San Luis Potosí,34.0,2008
Sinaloa,23.5,2008
Sonora,21.3,2008
Tabasco,32.8,2008
Tamaulipas,29.9,2008
Tlaxcala,40.4,2008
Veracruz de Ignacio de la Llave,47.0,2008
Yucatán,26.9,2008
Zacatecas,32.7,2008
Aguascalientes,28.3,2010
Baja California,30.1,2010
Baja California Sur,17.3,2010
Campeche,25.1,2010
Coahuila de Zaragoza,15.2,2010
Colima,27.2,2010
Chiapas,17.8,2010
Chihuahua,21.6,2010
Ciudad de México,16.2,2010
Durango,26.7,2010
Guanajuato,41.6,2010
Guerrero,36.2,2010
Hidalgo,38.9,2010
Jalisco,33.1,2010
México,27.9,2010
Michoacán de Ocampo,35.1,2010
Morelos,32.6,2010
Nayarit,28.1,2010
Nuevo León,9.1,2010
Oaxaca,48.1,2010
Puebla,37.0,2010
Querétaro,32.8,2010
Quintana Roo,29.1,2010
San Luis Potosí,25.3,2010
Sinaloa,18.0,2010
Sonora,21.3,2010
Tabasco,44.8,2010
Tamaulipas,22.8,2010
Tlaxcala,32.8,2010
Veracruz de Ignacio de la Llave,38.5,2010
Yucatán,24.2,2010
Zacatecas,31.1,2010
Aguascalientes,21.8,2012
Baja California,23.9,2012
Baja California Sur,20.9,2012
Campeche,24.4,2012
Coahuila de Zaragoza,11.9,2012
Colima,22.5,2012
Chiapas,23.1,2012
Chihuahua,22.6,2012
Ciudad de México,16.0,2012
Durango,23.2,2012
Guanajuato,27.2,2012
Guerrero,35.6,2012
Hidalgo,35.8,2012
Jalisco,24.8,2012
México,34.9,2012
Michoacán de Ocampo,32.2,2012
Morelos,33.3,2012
Nayarit,22.5,2012
Nuevo León,11.1,2012
Oaxaca,31.3,2012
Puebla,39.2,2012
Querétaro,25.7,2012
Quintana Roo,31.5,2012
San Luis Potosí,27.9,2012
Sinaloa,19.1,2012
Sonora,11.2,2012
Tabasco,38.6,2012
Tamaulipas,22.2,2012
Tlaxcala,33.7,2012
Veracruz de Ignacio de la Llave,29.5,2012
Yucatán,20.6,2012
Zacatecas,25.0,2012
Aguascalientes,10.2,2014
Baja California,27.6,2014
Baja California Sur,10.8,2014
Campeche,15.9,2014
Coahuila de Zaragoza,8.6,2014
Colima,11.3,2014
Chiapas,20.7,2014
Chihuahua,15.7,2014
Ciudad de México,9.4,2014
Durango,9.9,2014
Guanajuato,17.8,2014
Guerrero,22.7,2014
Hidalgo,22.8,2014
Jalisco,17.7,2014
México,22.7,2014
Michoacán de Ocampo,21.2,2014
Morelos,17.6,2014
Nayarit,14.1,2014
Nuevo León,8.0,2014
Oaxaca,20.8,2014
Puebla,29.7,2014
Querétaro,13.9,2014
Quintana Roo,20.1,2014
San Luis Potosí,11.8,2014
Sinaloa,8.8,2014
Sonora,11.8,2014
Tabasco,23.8,2014
Tamaulipas,12.7,2014
Tlaxcala,23.3,2014
Veracruz de Ignacio de la Llave,18.4,2014
Yucatán,13.2,2014
Zacatecas,11.4,2014
Aguascalientes,7.2,2016
Baja California,14.0,2016
Baja California Sur,7.0,2016
Campeche,16.3,2016
Coahuila de Zaragoza,5.1,2016
Colima,10.1,2016
Chiapas,21.8,2016
Chihuahua,13.6,2016
Ciudad de México,8.2,2016
Durango,8.2,2016
Guanajuato,13.6,2016
Guerrero,19.6,2016
Hidalgo,23.1,2016
Jalisco,14.8,2016
México,16.7,2016
Michoacán de Ocampo,16.7,2016
Morelos,14.2,2016
Nayarit,11.2,2016
Nuevo León,6.9,2016
Oaxaca,22.4,2016
Puebla,20.0,2016
Querétaro,10.4,2016
Quintana Roo,10.3,2016
San Luis Potosí,12.2,2016
Sinaloa,8.5,2016
Sonora,9.6,2016
Tabasco,20.1,2016
Tamaulipas,8.8,2016
Tlaxcala,16.0,2016
Veracruz de Ignacio de la Llave,20.0,2016
Yucatán,10.5,2016
Zacatecas,10.4,2016
Aguascalientes,12.3,2018
Baja California,17.3,2018
Baja California Sur,10.8,2018
Campeche,14.8,2018
Coahuila de Zaragoza,7.3,2018
Colima,9.0,2018
Chiapas,33.3,2018
Chihuahua,14.7,2018
Ciudad de México,10.5,2018
Durango,10.9,2018
Guanajuato,19.1,2018
Guerrero,27.0,2018
Hidalgo,21.0,2018
Jalisco,16.5,2018
México,18.6,2018
Michoacán de Ocampo,20.5,2018
Morelos,21.1,2018
Nayarit,11.7,2018
Nuevo León,6.9,2018
Oaxaca,25.6,2018
Puebla,26.8,2018
Querétaro,19.2,2018
Quintana Roo,22.5,2018
San Luis Potosí,19.1,2018
Sinaloa,6.9,2018
Sonora,9.1,2018
Tabasco,23.6,2018
Tamaulipas,14.2,2018
Tlaxcala,26.3,2018
Veracruz de Ignacio de la Llave,22.2,2018
Yucatán,12.8,2018
Zacatecas,17.2,2018
