Año,ile,Entidad
2003,6.57,Aguascalientes
2003,6.8,Baja California
2003,6.55,Baja California Sur
2003,5.89,Campeche
2003,6.59,Coahuila de Zaragoza
2003,5.8,Colima
2003,6.41,Chiapas
2003,6.5,Chihuahua
2003,5.89,Ciudad de México
2003,6.54,Durango
2003,6.75,Guanajuato
2003,6.4,Guerrero
2003,6.41,Hidalgo
2003,6.77,Jalisco
2003,6.91,México
2003,6.7,Michoacán de Ocampo
2003,6.71,Morelos
2003,6.67,Nayarit
2003,6.55,Nuevo León
2003,6.56,Oaxaca
2003,6.6,Puebla
2003,6.39,Querétaro
2003,6.66,Quintana Roo
2003,6.53,San Luis Potosí
2003,6.72,Sinaloa
2003,6.72,Sonora
2003,6.19,Tabasco
2003,6.26,Tamaulipas
2003,7.0,Tlaxcala
2003,6.41,Veracruz de Ignacio de la Llave
2003,6.56,Yucatán
2003,6.59,Zacatecas
2004,6.67,Aguascalientes
2004,6.89,Baja California
2004,6.59,Baja California Sur
2004,5.99,Campeche
2004,6.71,Coahuila de Zaragoza
2004,5.96,Colima
2004,6.5,Chiapas
2004,6.63,Chihuahua
2004,6.02,Ciudad de México
2004,6.65,Durango
2004,6.86,Guanajuato
2004,6.56,Guerrero
2004,6.58,Hidalgo
2004,6.91,Jalisco
2004,7.03,México
2004,6.8,Michoacán de Ocampo
2004,6.84,Morelos
2004,6.75,Nayarit
2004,6.66,Nuevo León
2004,6.68,Oaxaca
2004,6.77,Puebla
2004,6.5,Querétaro
2004,6.67,Quintana Roo
2004,6.62,San Luis Potosí
2004,6.84,Sinaloa
2004,6.82,Sonora
2004,6.27,Tabasco
2004,6.3,Tamaulipas
2004,7.07,Tlaxcala
2004,6.51,Veracruz de Ignacio de la Llave
2004,6.7,Yucatán
2004,6.68,Zacatecas
2005,6.55,Aguascalientes
2005,6.75,Baja California
2005,6.55,Baja California Sur
2005,5.85,Campeche
2005,6.54,Coahuila de Zaragoza
2005,5.91,Colima
2005,6.46,Chiapas
2005,6.52,Chihuahua
2005,5.82,Ciudad de México
2005,6.51,Durango
2005,6.74,Guanajuato
2005,6.44,Guerrero
2005,6.42,Hidalgo
2005,6.76,Jalisco
2005,6.9,México
2005,6.74,Michoacán de Ocampo
2005,6.67,Morelos
2005,6.8,Nayarit
2005,6.54,Nuevo León
2005,6.54,Oaxaca
2005,6.78,Puebla
2005,6.47,Querétaro
2005,6.58,Quintana Roo
2005,6.63,San Luis Potosí
2005,6.66,Sinaloa
2005,6.67,Sonora
2005,6.3,Tabasco
2005,6.25,Tamaulipas
2005,6.83,Tlaxcala
2005,6.44,Veracruz de Ignacio de la Llave
2005,6.54,Yucatán
2005,6.53,Zacatecas
2006,6.65,Aguascalientes
2006,6.82,Baja California
2006,6.61,Baja California Sur
2006,6.07,Campeche
2006,6.6,Coahuila de Zaragoza
2006,6.08,Colima
2006,6.51,Chiapas
2006,6.62,Chihuahua
2006,5.89,Ciudad de México
2006,6.46,Durango
2006,6.82,Guanajuato
2006,6.52,Guerrero
2006,6.48,Hidalgo
2006,6.8,Jalisco
2006,6.95,México
2006,6.9,Michoacán de Ocampo
2006,6.72,Morelos
2006,6.94,Nayarit
2006,6.63,Nuevo León
2006,6.52,Oaxaca
2006,6.93,Puebla
2006,6.62,Querétaro
2006,6.64,Quintana Roo
2006,6.79,San Luis Potosí
2006,6.68,Sinaloa
2006,6.81,Sonora
2006,6.49,Tabasco
2006,6.34,Tamaulipas
2006,6.64,Tlaxcala
2006,6.53,Veracruz de Ignacio de la Llave
2006,6.61,Yucatán
2006,6.59,Zacatecas
2007,6.49,Aguascalientes
2007,6.65,Baja California
2007,6.27,Baja California Sur
2007,6.12,Campeche
2007,6.42,Coahuila de Zaragoza
2007,5.96,Colima
2007,6.42,Chiapas
2007,6.56,Chihuahua
2007,5.68,Ciudad de México
2007,6.31,Durango
2007,6.65,Guanajuato
2007,6.34,Guerrero
2007,6.27,Hidalgo
2007,6.64,Jalisco
2007,6.76,México
2007,6.62,Michoacán de Ocampo
2007,6.58,Morelos
2007,6.57,Nayarit
2007,6.42,Nuevo León
