lpei,lpi,desagregacion,Fecha
115.02,215.1,Rural,1992-01-01
173.22,361.34,Urbano,1992-01-01
115.82,216.8,Rural,1992-02-01
174.61,364.04,Urbano,1992-02-01
117.33,218.9,Rural,1992-03-01
176.26,366.55,Urbano,1992-03-01
118.9,220.8,Rural,1992-04-01
177.96,368.74,Urbano,1992-04-01
117.39,220.06,Rural,1992-05-01
177.16,369.09,Urbano,1992-05-01
117.56,221.11,Rural,1992-06-01
177.65,370.95,Urbano,1992-06-01
117.34,221.61,Rural,1992-07-01
177.47,371.86,Urbano,1992-07-01
116.22,221.35,Rural,1992-08-01
176.77,372.68,Urbano,1992-08-01
116.13,223.68,Rural,1992-09-01
176.78,378.03,Urbano,1992-09-01
116.92,225.59,Rural,1992-10-01
177.45,380.61,Urbano,1992-10-01
118.83,228.52,Rural,1992-11-01
179.17,384.04,Urbano,1992-11-01
123.68,234.54,Rural,1992-12-01
184.09,391.17,Urbano,1992-12-01
126.52,239.36,Rural,1993-01-01
187.69,399.95,Urbano,1993-01-01
126.05,239.62,Rural,1993-02-01
187.9,401.4,Urbano,1993-02-01
123.62,238.06,Rural,1993-03-01
186.15,401.02,Urbano,1993-03-01
121.94,236.63,Rural,1993-04-01
184.75,399.92,Urbano,1993-04-01
122.97,237.93,Rural,1993-05-01
185.92,401.49,Urbano,1993-05-01
123.81,239.46,Rural,1993-06-01
186.6,403.33,Urbano,1993-06-01
123.67,239.86,Rural,1993-07-01
186.33,403.83,Urbano,1993-07-01
123.18,240.07,Rural,1993-08-01
186.43,405.22,Urbano,1993-08-01
124.25,243.2,Rural,1993-09-01
187.39,410.63,Urbano,1993-09-01
123.87,243.92,Rural,1993-10-01
187.08,412.15,Urbano,1993-10-01
124.51,245.43,Rural,1993-11-01
187.8,414.33,Urbano,1993-11-01
127.69,249.13,Rural,1993-12-01
190.81,418.25,Urbano,1993-12-01
129.22,251.25,Rural,1994-01-01
192.92,421.58,Urbano,1994-01-01
127.28,250.48,Rural,1994-02-01
190.89,421.86,Urbano,1994-02-01
126.39,250.59,Rural,1994-03-01
190.33,423.37,Urbano,1994-03-01
125.71,250.18,Rural,1994-04-01
189.8,423.14,Urbano,1994-04-01
125.71,250.49,Rural,1994-05-01
189.63,423.36,Urbano,1994-05-01
126.34,251.86,Rural,1994-06-01
190.36,425.22,Urbano,1994-06-01
127.38,253.26,Rural,1994-07-01
191.61,426.96,Urbano,1994-07-01
127.75,254.29,Rural,1994-08-01
192.13,428.69,Urbano,1994-08-01
128.01,256.0,Rural,1994-09-01
192.44,432.42,Urbano,1994-09-01
128.0,257.01,Rural,1994-10-01
192.75,434.43,Urbano,1994-10-01
129.09,259.01,Rural,1994-11-01
193.9,437.01,Urbano,1994-11-01
131.02,261.81,Rural,1994-12-01
195.98,440.35,Urbano,1994-12-01
135.76,269.44,Rural,1995-01-01
203.09,452.04,Urbano,1995-01-01
140.67,280.14,Rural,1995-02-01
211.34,469.04,Urbano,1995-02-01
146.48,296.18,Rural,1995-03-01
220.15,496.6,Urbano,1995-03-01
154.81,316.42,Rural,1995-04-01
231.39,527.49,Urbano,1995-04-01
162.52,329.03,Rural,1995-05-01
241.3,544.78,Urbano,1995-05-01
169.3,340.35,Rural,1995-06-01
250.13,560.92,Urbano,1995-06-01
173.41,347.32,Rural,1995-07-01
255.66,571.13,Urbano,1995-07-01
174.8,351.86,Rural,1995-08-01
257.85,578.79,Urbano,1995-08-01
176.79,358.65,Rural,1995-09-01
261.36,591.37,Urbano,1995-09-01
180.88,366.33,Rural,1995-10-01
266.37,602.29,Urbano,1995-10-01
