Entidad,Porcentage,Año
Aguascalientes,45.0,2008
Baja California,45.9,2008
Baja California Sur,41.0,2008
Campeche,51.7,2008
Coahuila de Zaragoza,29.7,2008
Colima,42.5,2008
Chiapas,78.3,2008
Chihuahua,44.4,2008
Ciudad de México,41.0,2008
Durango,48.7,2008
Guanajuato,58.2,2008
Guerrero,70.8,2008
Hidalgo,69.6,2008
Jalisco,50.5,2008
México,58.0,2008
Michoacán de Ocampo,67.9,2008
Morelos,61.9,2008
Nayarit,57.6,2008
Nuevo León,35.3,2008
Oaxaca,70.8,2008
Puebla,65.7,2008
Querétaro,50.7,2008
Quintana Roo,53.9,2008
San Luis Potosí,55.6,2008
Sinaloa,48.6,2008
Sonora,37.9,2008
Tabasco,70.1,2008
Tamaulipas,44.0,2008
Tlaxcala,64.2,2008
Veracruz de Ignacio de la Llave,61.3,2008
Yucatán,47.1,2008
Zacatecas,58.3,2008
Aguascalientes,44.1,2010
Baja California,48.7,2010
Baja California Sur,39.0,2010
Campeche,50.7,2010
Coahuila de Zaragoza,28.7,2010
Colima,44.6,2010
Chiapas,73.3,2010
Chihuahua,39.3,2010
Ciudad de México,41.2,2010
Durango,52.7,2010
Guanajuato,60.9,2010
Guerrero,66.7,2010
Hidalgo,63.7,2010
Jalisco,49.1,2010
México,49.4,2010
Michoacán de Ocampo,65.3,2010
Morelos,55.3,2010
Nayarit,54.8,2010
Nuevo León,32.8,2010
Oaxaca,71.5,2010
Puebla,63.5,2010
Querétaro,54.9,2010
Quintana Roo,49.4,2010
San Luis Potosí,50.2,2010
Sinaloa,45.4,2010
Sonora,40.2,2010
Tabasco,66.8,2010
Tamaulipas,43.9,2010
Tlaxcala,63.8,2010
Veracruz de Ignacio de la Llave,59.9,2010
Yucatán,46.4,2010
Zacatecas,61.5,2010
Aguascalientes,40.7,2012
Baja California,45.1,2012
Baja California Sur,37.3,2012
Campeche,51.4,2012
Coahuila de Zaragoza,25.4,2012
Colima,40.8,2012
Chiapas,73.5,2012
Chihuahua,39.2,2012
Ciudad de México,40.7,2012
Durango,48.1,2012
Guanajuato,55.2,2012
Guerrero,66.6,2012
Hidalgo,61.5,2012
Jalisco,47.1,2012
México,55.1,2012
Michoacán de Ocampo,61.7,2012
Morelos,53.5,2012
Nayarit,52.2,2012
Nuevo León,29.1,2012
Oaxaca,64.1,2012
Puebla,65.8,2012
Querétaro,48.9,2012
Quintana Roo,50.9,2012
San Luis Potosí,54.5,2012
Sinaloa,45.3,2012
Sonora,37.0,2012
Tabasco,62.9,2012
Tamaulipas,42.5,2012
Tlaxcala,59.3,2012
Veracruz de Ignacio de la Llave,57.9,2012
Yucatán,42.9,2012
Zacatecas,56.0,2012
Aguascalientes,36.3,2014
Baja California,44.7,2014
Baja California Sur,37.6,2014
Campeche,48.2,2014
Coahuila de Zaragoza,28.4,2014
Colima,41.0,2014
Chiapas,72.5,2014
Chihuahua,37.0,2014
Ciudad de México,37.2,2014
Durango,43.1,2014
Guanajuato,51.8,2014
Guerrero,67.0,2014
Hidalgo,58.3,2014
Jalisco,42.1,2014
México,49.9,2014
Michoacán de Ocampo,61.0,2014
Morelos,53.5,2014
Nayarit,47.0,2014
Nuevo León,27.4,2014
Oaxaca,66.8,2014
Puebla,66.9,2014
Querétaro,48.2,2014
Quintana Roo,50.3,2014
San Luis Potosí,50.9,2014
Sinaloa,38.8,2014
Sonora,34.1,2014
Tabasco,63.9,2014
Tamaulipas,38.7,2014
Tlaxcala,60.2,2014
Veracruz de Ignacio de la Llave,58.7,2014
Yucatán,43.3,2014
Zacatecas,54.3,2014
Aguascalientes,34.3,2016
Baja California,39.8,2016
Baja California Sur,35.2,2016
Campeche,47.5,2016
Coahuila de Zaragoza,24.4,2016
Colima,40.1,2016
Chiapas,67.7,2016
Chihuahua,37.0,2016
Ciudad de México,35.4,2016
Durango,40.8,2016
Guanajuato,44.8,2016
Guerrero,60.3,2016
Hidalgo,60.2,2016
Jalisco,40.5,2016
México,46.4,2016
Michoacán de Ocampo,55.8,2016
Morelos,49.8,2016
Nayarit,45.7,2016
Nuevo León,28.1,2016
Oaxaca,64.6,2016
Puebla,55.6,2016
Querétaro,40.0,2016
Quintana Roo,47.2,2016
San Luis Potosí,50.1,2016
Sinaloa,37.2,2016
Sonora,32.8,2016
Tabasco,59.2,2016
Tamaulipas,36.8,2016
Tlaxcala,54.5,2016
Veracruz de Ignacio de la Llave,56.1,2016
Yucatán,40.8,2016
Zacatecas,51.3,2016
Aguascalientes,36.6,2018
Baja California,38.4,2018
Baja California Sur,34.5,2018
Campeche,46.3,2018
Coahuila de Zaragoza,25.1,2018
Colima,39.2,2018
Chiapas,71.1,2018
Chihuahua,34.3,2018
Ciudad de México,37.9,2018
Durango,39.2,2018
Guanajuato,50.1,2018
Guerrero,61.8,2018
Hidalgo,57.2,2018
Jalisco,40.5,2018
México,45.8,2018
Michoacán de Ocampo,56.4,2018
Morelos,51.0,2018
Nayarit,44.0,2018
Nuevo León,26.1,2018
Oaxaca,62.7,2018
Puebla,58.9,2018
Querétaro,44.2,2018
Quintana Roo,43.4,2018
San Luis Potosí,49.2,2018
Sinaloa,36.6,2018
Sonora,32.4,2018
Tabasco,60.0,2018
Tamaulipas,36.9,2018
Tlaxcala,54.6,2018
Veracruz de Ignacio de la Llave,55.5,2018
Yucatán,41.5,2018
Zacatecas,54.9,2018
