Entidad,Porcentage,Año
Aguascalientes,51.7,2008
Baja California,52.0,2008
Baja California Sur,51.1,2008
Campeche,59.2,2008
Coahuila de Zaragoza,37.4,2008
Colima,55.3,2008
Chiapas,83.5,2008
Chihuahua,54.4,2008
Ciudad de México,51.2,2008
Durango,55.9,2008
Guanajuato,63.5,2008
Guerrero,78.8,2008
Hidalgo,75.1,2008
Jalisco,55.5,2008
México,66.6,2008
Michoacán de Ocampo,75.7,2008
Morelos,71.0,2008
Nayarit,63.9,2008
Nuevo León,41.5,2008
Oaxaca,78.7,2008
Puebla,77.4,2008
Querétaro,52.7,2008
Quintana Roo,55.0,2008
San Luis Potosí,61.0,2008
Sinaloa,55.5,2008
Sonora,49.1,2008
Tabasco,78.2,2008
Tamaulipas,53.9,2008
Tlaxcala,73.9,2008
Veracruz de Ignacio de la Llave,70.5,2008
Yucatán,61.0,2008
Zacatecas,66.4,2008
Aguascalientes,49.3,2010
Baja California,57.3,2010
Baja California Sur,49.6,2010
Campeche,61.0,2010
Coahuila de Zaragoza,38.7,2010
Colima,59.1,2010
Chiapas,83.5,2010
Chihuahua,49.1,2010
Ciudad de México,55.0,2010
Durango,59.1,2010
Guanajuato,65.3,2010
Guerrero,78.8,2010
Hidalgo,73.3,2010
Jalisco,55.1,2010
México,63.8,2010
Michoacán de Ocampo,71.6,2010
Morelos,65.7,2010
Nayarit,61.4,2010
Nuevo León,36.0,2010
Oaxaca,81.0,2010
Puebla,73.9,2010
Querétaro,59.4,2010
Quintana Roo,54.5,2010
San Luis Potosí,56.8,2010
Sinaloa,57.7,2010
Sonora,49.7,2010
Tabasco,76.4,2010
Tamaulipas,53.0,2010
Tlaxcala,72.3,2010
Veracruz de Ignacio de la Llave,71.6,2010
Yucatán,61.1,2010
Zacatecas,66.3,2010
Aguascalientes,47.7,2012
Baja California,59.6,2012
Baja California Sur,47.1,2012
Campeche,62.8,2012
Coahuila de Zaragoza,37.3,2012
Colima,53.3,2012
Chiapas,84.2,2012
Chihuahua,52.9,2012
Ciudad de México,56.0,2012
Durango,60.1,2012
Guanajuato,62.0,2012
Guerrero,78.7,2012
Hidalgo,71.7,2012
Jalisco,54.6,2012
México,68.0,2012
Michoacán de Ocampo,72.7,2012
Morelos,66.7,2012
Nayarit,63.9,2012
Nuevo León,37.6,2012
Oaxaca,76.7,2012
Puebla,78.6,2012
Querétaro,57.1,2012
Quintana Roo,54.6,2012
San Luis Potosí,60.5,2012
Sinaloa,52.8,2012
Sonora,49.2,2012
Tabasco,73.9,2012
Tamaulipas,52.7,2012
Tlaxcala,73.3,2012
Veracruz de Ignacio de la Llave,71.5,2012
Yucatán,62.9,2012
Zacatecas,63.8,2012
Aguascalientes,44.9,2014
Baja California,57.0,2014
Baja California Sur,52.8,2014
Campeche,62.7,2014
Coahuila de Zaragoza,35.8,2014
Colima,54.4,2014
Chiapas,83.6,2014
Chihuahua,46.0,2014
Ciudad de México,48.6,2014
Durango,53.6,2014
Guanajuato,60.0,2014
Guerrero,77.6,2014
Hidalgo,70.8,2014
Jalisco,51.1,2014
México,64.4,2014
Michoacán de Ocampo,71.4,2014
Morelos,68.7,2014
Nayarit,54.5,2014
Nuevo León,34.5,2014
Oaxaca,78.9,2014
Puebla,76.0,2014
Querétaro,53.8,2014
Quintana Roo,52.0,2014
San Luis Potosí,59.1,2014
Sinaloa,50.8,2014
Sonora,43.7,2014
Tabasco,78.0,2014
Tamaulipas,46.8,2014
Tlaxcala,74.1,2014
Veracruz de Ignacio de la Llave,72.1,2014
Yucatán,57.4,2014
Zacatecas,64.1,2014
Aguascalientes,41.5,2016
Baja California,44.6,2016
Baja California Sur,42.0,2016
Campeche,60.4,2016
Coahuila de Zaragoza,33.0,2016
Colima,50.3,2016
Chiapas,81.5,2016
Chihuahua,40.5,2016
Ciudad de México,48.9,2016
Durango,51.9,2016
Guanajuato,56.0,2016
Guerrero,75.4,2016
Hidalgo,73.7,2016
Jalisco,50.1,2016
México,57.6,2016
Michoacán de Ocampo,70.0,2016
Morelos,64.2,2016
Nayarit,56.1,2016
Nuevo León,34.8,2016
Oaxaca,79.4,2016
Puebla,71.8,2016
Querétaro,50.2,2016
Quintana Roo,48.6,2016
San Luis Potosí,54.2,2016
Sinaloa,46.9,2016
Sonora,42.4,2016
Tabasco,69.6,2016
Tamaulipas,43.6,2016
Tlaxcala,68.0,2016
Veracruz de Ignacio de la Llave,69.9,2016
Yucatán,57.6,2016
Zacatecas,61.4,2016
Aguascalientes,45.6,2018
Baja California,50.6,2018
Baja California Sur,46.7,2018
Campeche,64.7,2018
Coahuila de Zaragoza,33.2,2018
Colima,52.3,2018
Chiapas,84.2,2018
Chihuahua,46.6,2018
Ciudad de México,51.7,2018
Durango,52.0,2018
Guanajuato,58.0,2018
Guerrero,77.0,2018
Hidalgo,73.5,2018
Jalisco,53.5,2018
México,63.4,2018
Michoacán de Ocampo,71.4,2018
Morelos,72.0,2018
Nayarit,59.2,2018
Nuevo León,39.5,2018
Oaxaca,77.8,2018
Puebla,74.3,2018
Querétaro,56.2,2018
Quintana Roo,54.6,2018
San Luis Potosí,56.6,2018
Sinaloa,48.5,2018
Sonora,43.7,2018
Tabasco,73.0,2018
Tamaulipas,46.8,2018
Tlaxcala,71.4,2018
Veracruz de Ignacio de la Llave,70.7,2018
Yucatán,60.0,2018
Zacatecas,64.6,2018
