Entidad,Porcentage,Año
Aguascalientes,1.6,2008
Baja California,2.1,2008
Baja California Sur,2.8,2008
Campeche,4.7,2008
Coahuila de Zaragoza,1.2,2008
Colima,6.3,2008
Chiapas,22.6,2008
Chihuahua,5.6,2008
Ciudad de México,0.8,2008
Durango,5.3,2008
Guanajuato,3.2,2008
Guerrero,24.2,2008
Hidalgo,9.8,2008
Jalisco,3.6,2008
México,2.6,2008
Michoacán de Ocampo,10.6,2008
Morelos,5.8,2008
Nayarit,5.2,2008
Nuevo León,3.0,2008
Oaxaca,22.2,2008
Puebla,7.2,2008
Querétaro,2.9,2008
Quintana Roo,3.8,2008
San Luis Potosí,14.3,2008
Sinaloa,7.8,2008
Sonora,6.1,2008
Tabasco,5.6,2008
Tamaulipas,2.5,2008
Tlaxcala,3.4,2008
Veracruz de Ignacio de la Llave,17.5,2008
Yucatán,4.4,2008
Zacatecas,3.4,2008
estados_unidos_mexicanos,7.3,2008
Aguascalientes,0.9,2010
Baja California,2.3,2010
Baja California Sur,1.6,2010
Campeche,3.5,2010
Coahuila de Zaragoza,0.8,2010
Colima,4.1,2010
Chiapas,9.9,2010
Chihuahua,1.0,2010
Ciudad de México,0.4,2010
Durango,2.8,2010
Guanajuato,2.3,2010
Guerrero,15.9,2010
Hidalgo,5.7,2010
Jalisco,1.5,2010
México,3.6,2010
Michoacán de Ocampo,9.6,2010
Morelos,6.6,2010
Nayarit,4.9,2010
Nuevo León,1.1,2010
Oaxaca,16.8,2010
Puebla,6.2,2010
Querétaro,1.6,2010
Quintana Roo,2.1,2010
San Luis Potosí,7.0,2010
Sinaloa,1.5,2010
Sonora,4.6,2010
Tabasco,5.4,2010
Tamaulipas,2.2,2010
Tlaxcala,1.4,2010
Veracruz de Ignacio de la Llave,10.7,2010
Yucatán,2.0,2010
Zacatecas,1.9,2010
estados_unidos_mexicanos,4.8,2010
Aguascalientes,1.2,2012
Baja California,1.2,2012
Baja California Sur,2.2,2012
Campeche,1.3,2012
Coahuila de Zaragoza,0.8,2012
Colima,2.3,2012
Chiapas,8.9,2012
Chihuahua,0.4,2012
Ciudad de México,0.2,2012
Durango,3.3,2012
Guanajuato,2.3,2012
Guerrero,13.3,2012
Hidalgo,4.8,2012
Jalisco,1.2,2012
México,1.7,2012
Michoacán de Ocampo,7.4,2012
Morelos,5.1,2012
Nayarit,3.0,2012
Nuevo León,0.7,2012
Oaxaca,9.7,2012
Puebla,5.3,2012
Querétaro,2.6,2012
Quintana Roo,2.0,2012
San Luis Potosí,4.9,2012
Sinaloa,3.2,2012
Sonora,2.2,2012
Tabasco,4.5,2012
Tamaulipas,0.7,2012
Tlaxcala,2.3,2012
Veracruz de Ignacio de la Llave,8.8,2012
Yucatán,1.3,2012
Zacatecas,1.0,2012
estados_unidos_mexicanos,3.6,2012
Aguascalientes,0.5,2014
Baja California,2.3,2014
Baja California Sur,2.4,2014
Campeche,2.5,2014
Coahuila de Zaragoza,0.8,2014
Colima,4.4,2014
Chiapas,8.9,2014
Chihuahua,2.1,2014
Ciudad de México,0.3,2014
Durango,1.7,2014
Guanajuato,1.6,2014
Guerrero,11.3,2014
Hidalgo,3.5,2014
Jalisco,1.1,2014
México,1.9,2014
Michoacán de Ocampo,4.6,2014
Morelos,4.4,2014
Nayarit,3.1,2014
Nuevo León,1.0,2014
Oaxaca,10.9,2014
Puebla,4.9,2014
Querétaro,2.0,2014
Quintana Roo,2.7,2014
San Luis Potosí,4.8,2014
Sinaloa,2.9,2014
Sonora,1.7,2014
Tabasco,3.4,2014
Tamaulipas,1.5,2014
Tlaxcala,1.6,2014
Veracruz de Ignacio de la Llave,6.0,2014
Yucatán,2.1,2014
Zacatecas,0.7,2014
estados_unidos_mexicanos,3.3,2014
Aguascalientes,1.0,2016
Baja California,1.4,2016
Baja California Sur,2.7,2016
