Entidad,Porcentage,Año
Aguascalientes,0.0,2008
Baja California,0.7,2008
Baja California Sur,3.3,2008
Campeche,1.9,2008
Coahuila de Zaragoza,0.3,2008
Colima,1.3,2008
Chiapas,2.4,2008
Chihuahua,1.2,2008
Ciudad de México,1.6,2008
Durango,1.9,2008
Guanajuato,1.0,2008
Guerrero,9.3,2008
Hidalgo,0.8,2008
Jalisco,0.5,2008
México,3.3,2008
Michoacán de Ocampo,9.7,2008
Morelos,2.9,2008
Nayarit,2.5,2008
Nuevo León,0.5,2008
Oaxaca,1.3,2008
Puebla,5.2,2008
Querétaro,0.5,2008
Quintana Roo,6.2,2008
San Luis Potosí,1.2,2008
Sinaloa,2.8,2008
Sonora,4.2,2008
Tabasco,0.2,2008
Tamaulipas,2.1,2008
Tlaxcala,1.0,2008
Veracruz de Ignacio de la Llave,4.2,2008
Yucatán,3.3,2008
Zacatecas,0.2,2008
estados_unidos_mexicanos,2.7,2008
Aguascalientes,0.2,2010
Baja California,0.8,2010
Baja California Sur,1.7,2010
Campeche,2.0,2010
Coahuila de Zaragoza,0.2,2010
Colima,1.2,2010
Chiapas,1.4,2010
Chihuahua,0.7,2010
Ciudad de México,1.3,2010
Durango,1.5,2010
Guanajuato,0.4,2010
Guerrero,9.9,2010
Hidalgo,1.1,2010
Jalisco,0.6,2010
México,4.0,2010
Michoacán de Ocampo,9.7,2010
Morelos,2.2,2010
Nayarit,4.1,2010
Nuevo León,0.1,2010
Oaxaca,0.9,2010
Puebla,5.1,2010
Querétaro,0.3,2010
Quintana Roo,5.3,2010
San Luis Potosí,1.6,2010
Sinaloa,2.3,2010
Sonora,2.4,2010
Tabasco,0.5,2010
Tamaulipas,0.4,2010
Tlaxcala,1.9,2010
Veracruz de Ignacio de la Llave,3.6,2010
Yucatán,2.6,2010
Zacatecas,0.2,2010
estados_unidos_mexicanos,2.5,2010
Aguascalientes,0.1,2012
Baja California,1.0,2012
Baja California Sur,1.5,2012
Campeche,1.2,2012
Coahuila de Zaragoza,0.3,2012
Colima,1.5,2012
Chiapas,0.6,2012
Chihuahua,1.0,2012
Ciudad de México,1.2,2012
Durango,1.0,2012
Guanajuato,0.4,2012
Guerrero,7.5,2012
Hidalgo,1.3,2012
Jalisco,0.2,2012
México,2.8,2012
Michoacán de Ocampo,7.4,2012
Morelos,2.5,2012
Nayarit,4.6,2012
Nuevo León,0.6,2012
Oaxaca,1.3,2012
Puebla,4.3,2012
Querétaro,0.3,2012
Quintana Roo,3.0,2012
San Luis Potosí,0.3,2012
Sinaloa,2.7,2012
Sonora,2.2,2012
Tabasco,0.1,2012
Tamaulipas,0.5,2012
Tlaxcala,1.5,2012
Veracruz de Ignacio de la Llave,2.7,2012
Yucatán,2.8,2012
Zacatecas,0.3,2012
estados_unidos_mexicanos,2.0,2012
