Entidad,Porcentage,Año
Aguascalientes,30.8,2008
Baja California,42.1,2008
Baja California Sur,44.6,2008
Campeche,29.5,2008
Coahuila de Zaragoza,25.2,2008
Colima,39.7,2008
Chiapas,15.9,2008
Chihuahua,34.6,2008
Ciudad de México,36.1,2008
Durango,24.6,2008
Guanajuato,36.2,2008
Guerrero,22.8,2008
Hidalgo,30.5,2008
Jalisco,35.9,2008
México,35.6,2008
Michoacán de Ocampo,31.4,2008
Morelos,34.1,2008
Nayarit,34.5,2008
Nuevo León,36.5,2008
Oaxaca,26.8,2008
Puebla,22.6,2008
Querétaro,35.0,2008
Quintana Roo,38.4,2008
San Luis Potosí,25.4,2008
Sinaloa,40.9,2008
Sonora,38.7,2008
Tabasco,33.8,2008
Tamaulipas,33.1,2008
Tlaxcala,23.6,2008
Veracruz de Ignacio de la Llave,32.7,2008
Yucatán,29.5,2008
Zacatecas,27.8,2008
Aguascalientes,26.2,2010
Baja California,37.9,2010
Baja California Sur,32.5,2010
Campeche,24.9,2010
Coahuila de Zaragoza,25.6,2010
Colima,33.8,2010
Chiapas,13.0,2010
Chihuahua,22.8,2010
Ciudad de México,34.4,2010
Durango,21.1,2010
Guanajuato,28.9,2010
Guerrero,23.0,2010
Hidalgo,27.5,2010
Jalisco,33.7,2010
México,32.2,2010
Michoacán de Ocampo,28.6,2010
Morelos,33.6,2010
Nayarit,33.4,2010
Nuevo León,31.6,2010
Oaxaca,22.2,2010
Puebla,21.6,2010
Querétaro,31.7,2010
Quintana Roo,36.1,2010
San Luis Potosí,20.9,2010
Sinaloa,33.3,2010
Sonora,31.6,2010
Tabasco,27.2,2010
Tamaulipas,26.9,2010
Tlaxcala,19.3,2010
Veracruz de Ignacio de la Llave,23.6,2010
Yucatán,26.0,2010
Zacatecas,18.4,2010
Aguascalientes,24.5,2012
Baja California,37.6,2012
Baja California Sur,30.0,2012
Campeche,28.6,2012
Coahuila de Zaragoza,24.4,2012
Colima,31.7,2012
Chiapas,17.2,2012
Chihuahua,27.4,2012
Ciudad de México,32.4,2012
Durango,21.8,2012
Guanajuato,32.6,2012
Guerrero,21.7,2012
Hidalgo,30.7,2012
Jalisco,28.3,2012
México,29.5,2012
Michoacán de Ocampo,30.7,2012
Morelos,32.0,2012
Nayarit,28.2,2012
Nuevo León,29.1,2012
Oaxaca,26.1,2012
Puebla,22.0,2012
Querétaro,32.6,2012
Quintana Roo,30.4,2012
San Luis Potosí,24.7,2012
Sinaloa,33.5,2012
Sonora,36.6,2012
Tabasco,34.0,2012
Tamaulipas,26.8,2012
Tlaxcala,23.9,2012
Veracruz de Ignacio de la Llave,30.6,2012
Yucatán,27.0,2012
Zacatecas,20.4,2012
Aguascalientes,25.3,2014
Baja California,38.3,2014
Baja California Sur,34.4,2014
Campeche,32.1,2014
Coahuila de Zaragoza,24.2,2014
Colima,33.2,2014
Chiapas,15.3,2014
Chihuahua,25.8,2014
Ciudad de México,28.0,2014
Durango,24.3,2014
Guanajuato,27.7,2014
Guerrero,26.2,2014
Hidalgo,25.8,2014
Jalisco,29.6,2014
México,23.7,2014
Michoacán de Ocampo,25.0,2014
Morelos,25.7,2014
Nayarit,29.4,2014
Nuevo León,28.0,2014
Oaxaca,23.3,2014
Puebla,19.8,2014
Querétaro,33.1,2014
Quintana Roo,34.2,2014
San Luis Potosí,24.3,2014
Sinaloa,30.4,2014
Sonora,32.1,2014
Tabasco,37.5,2014
Tamaulipas,24.4,2014
Tlaxcala,22.6,2014
Veracruz de Ignacio de la Llave,24.8,2014
Yucatán,27.7,2014
Zacatecas,24.4,2014
Aguascalientes,28.0,2016
Baja California,38.0,2016
Baja California Sur,37.8,2016
Campeche,31.3,2016
Coahuila de Zaragoza,25.0,2016
Colima,31.3,2016
Chiapas,13.8,2016
Chihuahua,27.3,2016
Ciudad de México,28.9,2016
Durango,29.9,2016
Guanajuato,30.0,2016
Guerrero,23.8,2016
Hidalgo,31.9,2016
Jalisco,32.6,2016
México,21.3,2016
Michoacán de Ocampo,27.8,2016
Morelos,24.4,2016
Nayarit,31.4,2016
Nuevo León,34.6,2016
Oaxaca,19.9,2016
Puebla,21.5,2016
Querétaro,32.0,2016
Quintana Roo,38.4,2016
San Luis Potosí,24.6,2016
Sinaloa,32.8,2016
Sonora,30.9,2016
Tabasco,35.4,2016
Tamaulipas,28.6,2016
Tlaxcala,24.4,2016
Veracruz de Ignacio de la Llave,19.9,2016
Yucatán,32.5,2016
Zacatecas,24.4,2016
Aguascalientes,29.6,2018
Baja California,39.8,2018
Baja California Sur,43.3,2018
Campeche,31.8,2018
Coahuila de Zaragoza,27.4,2018
Colima,35.2,2018
Chiapas,15.0,2018
Chihuahua,32.1,2018
Ciudad de México,28.4,2018
Durango,27.1,2018
Guanajuato,29.4,2018
Guerrero,23.2,2018
Hidalgo,38.9,2018
Jalisco,36.5,2018
México,28.1,2018
Michoacán de Ocampo,34.8,2018
Morelos,29.4,2018
Nayarit,35.9,2018
Nuevo León,34.4,2018
Oaxaca,22.5,2018
Puebla,23.2,2018
Querétaro,38.0,2018
Quintana Roo,41.2,2018
San Luis Potosí,27.7,2018
Sinaloa,34.5,2018
Sonora,30.1,2018
Tabasco,33.4,2018
Tamaulipas,25.7,2018
Tlaxcala,28.6,2018
Veracruz de Ignacio de la Llave,21.1,2018
Yucatán,33.3,2018
Zacatecas,28.7,2018
